arm,dedup_id,decision,rationale,auto_verdict,auto_reason,title,year,venue
original,REC-368,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022,Journal of Scientific Computing
original,REC-392,KEEP,"Speed-power performance model, no ML signal in abstract (E2)",EXCLUDE,E3:no-ML-method,Development of a ship performance model for power estimation of inland waterway vessels,2023,Ocean Engineering
original,REC-418,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,A Practical Identification Method for Data Variation of Noon Reports in Vessel Operation,2022,
original,REC-429,KEEP,no inclusion signals on review,EXCLUDE,E1:collision avoidance,Online Prediction of Ship Behavior with Automatic Identification System Sensor Data Using Bidirectional Long Short-Term Memory Recurrent Neural Network,2018,Sensors
original,REC-512,KEEP,no inclusion signals on review,EXCLUDE,E5:state of charge,Physics-Informed Data-Driven Approaches to State of Health Prediction of Maritime Battery Systems,2024,Proceedings of the Annual Conference of the Prognostics and Health Management Society Phm
original,REC-550,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Intelligent prediction for ship motion based on decomposition strategy,2015,2015 IEEE International Conference on Mechatronics and Automation (ICMA)
original,REC-556,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Adaptive Optimization Strategy of Ship Intelligent Navigation Decision System Enabled by Reinforcement Learning Algorithm,2025,2025 3rd International Conference on Data Science and Information System (ICDSIS)
update-2026,REC-022,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,"Energy-Efficient Cooling System Control in Ship Engine Rooms Using an Intelligent Integrated Automation, Control, and Monitoring System (IACMS)",2026,Energies
update-2026,REC-024,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Multi-Strategy Enhanced Harris Hawks Optimization Algorithm for KASDAE in Ship Maintenance Data Quality Enhancement,2026,Symmetry
update-2026,REC-044,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Applications of Artificial Intelligence in Fisheries: From Data to Decisions,2026,Big Data and Cognitive Computing
update-2026,REC-052,KEEP,"Semi-empirical (Kwon) formulas, no ML/learning component (E2)",EXCLUDE,E3:no-ML-method,A semi-empirical operational performance prediction for anchor handling tug supply (AHTS) vessel,2026,BIO Web of Conferences
update-2026,REC-053,KEEP,"Duplicate of REC-052; semi-empirical, no ML (E2)",EXCLUDE,E3:no-ML-method,A semi-empirical operational performance prediction for anchor handling tug supply (AHTS) vessel,2026,Springer Link (Chiba Institute of Technology)
update-2026,REC-064,KEEP,no inclusion signals on review,EXCLUDE,E5:pv system,An Environmental Impact Analysis of the Transition to Electric-Propulsion Ships Toward Net-Zero Shipping: A Case Study of Vessels Operated by a Korean Shipping Company,2026,Journal of Marine Science and Engineering
update-2026,REC-090,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Driver Behavior in Mixed Traffic with Autonomous Vehicles,2026,Future Transportation
update-2026,REC-093,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Data-Driven Methods and Artificial Intelligence in Reliability and Maintenance: A Review,2026,Mathematics
update-2026,REC-103,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Comparative Analysis of Population Initialization Strategies in Metaheuristic Optimization,2026,Cybernetics and Information Technologies
update-2026,REC-108,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A sequential bayesian operational mode classification for SHM under discrete operational variability,2026,Mechanical Systems and Signal Processing
update-2026,REC-110,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Integrated Analysis of NOx Reduction and Performance Enhancement in HYUNDAI-HiMSEN 7H35DFP Dual-Fuel Marine Engine,2026,Journal of Marine Science and Engineering
update-2026,REC-126,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,FORECASTING WIND DIRECTION IN ALOR SETAR USING MACHINE LEARNING TIME SERIES MODELS WITH TRIGONOMETRIC TRANSFORMATION,2026,BAREKENG JURNAL ILMU MATEMATIKA DAN TERAPAN
update-2026,REC-135,KEEP,no inclusion signals on review,EXCLUDE,E1:trajectory prediction,Maritime Trajectory Forecasting via CNN–SOFTS-Based Coupled Spatio-Temporal Features,2026,Sensors
update-2026,REC-137,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Forecasting bunker price using deep learning and dimensionality reduction,2026,Maritime Business Review
update-2026,REC-139,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Lightweight CA-ConvLSTM Framework for Grid-Level Vessel Traffic Flow Prediction with Spatially Aligned Meteorological Information,2026,Journal of Marine Science and Engineering
update-2026,REC-152,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Kernel-based dynamic ensemble approach for classifying imbalanced data with overlapping classes,2026,Scientific Reports
update-2026,REC-156,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Extending Bayesian Decision Trees to Incorporate External Information: A Sprint Kayak and Canoe Case Study,2026,Queensland University of Technology
update-2026,REC-186,KEEP,no inclusion signals on review,EXCLUDE,E5:medical,Metamaterials and Fluid Flows,2026,Nature Communications
update-2026,REC-191,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Bifurcation-adaptive physics-informed neural networks for stochastic dynamical systems,2026,Discover Computing
update-2026,REC-193,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Regularized machine learning for system identification of ship free-running manoeuvres from CFD-based synthetic data: A comparative study,2026,Ocean Engineering
update-2026,REC-204,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Computational Framework for Nonlinear Seakeeping Prediction under Hydrodynamic Uncertainty,2026,Research Square
update-2026,REC-224,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,WaveUformer: a bias correction model for GWSM4C Wave Forecasting,2026,Frontiers in Marine Science
update-2026,REC-231,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A thinking innovation strategy based Northern goshawk optimizer enhanced extreme learning machine for bankruptcy prediction problems,2026,Scientific Reports
update-2026,REC-232,KEEP,no inclusion signals on review,EXCLUDE,E1:motion prediction,Prediction-Driven Assessment of Multi-Ship Traffic Pressure and Maritime Traffic Situation,2026,Journal of Marine Science and Engineering
update-2026,REC-236,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Digital Twin-based Out-of-Distribution Detection in Autonomous Vessels,2026,ACM Transactions on Software Engineering and Methodology
update-2026,REC-237,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Appointment-Based Lock Scheduling for Inland Vessels Under Arrival Time Uncertainty,2026,Applied Sciences
update-2026,REC-238,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,LLM-Driven Predictive–Adaptive Guidance for Autonomous Surface Vessels Under Environmental Disturbances,2026,Journal of Marine Science and Engineering
update-2026,REC-314,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"AI-Driven Data Center Infrastructure, Mechanical Piping Systems, and Reliability Engineering: Energy Optimization, Fault Prediction",2026,International Journal of Emerging Research in Engineering and Technology
update-2026,REC-330,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Quantifying Human-Driven Energy and Cost Variability in Tugboat Manoeuvres,2026,Maritime Transport Conference
update-2026,REC-343,KEEP,no inclusion signals on review,EXCLUDE,E1:weather routing,Life Cycle Assessment and Artificial Intelligence in Wind-Assisted Ship Propulsion,2026,BCU Open Access Repository (Birmingham City University)
original,REC-085,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Data Analysis for the Aero Derivative Engines Bleed System Failure Identification and Prediction,2021,International Journal of Intelligent Systems and Applications
original,REC-102,READMIT,Gradient-boosting digital-twin voyage performance prediction on noon-report+AIS with train/validation split,EXCLUDE,E1:weather routing,Voyage performance evaluation based on a digital twin model,2020,IOP Conference Series: Materials Science and Engineering
original,REC-116,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Multi-Step Ship Roll Motion Prediction Based on Bi-LSTM and Input Optimization,2023,Annual Conference of the IEEE Industrial Electronics Society
original,REC-126,KEEP,no inclusion signals on review,EXCLUDE,E1:dynamic positioning,A Novel Densely Connected Convolutional Neural Network for Sea-State Estimation Using Ship Motion Data,2020,IEEE Transactions on Instrumentation and Measurement
original,REC-132,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Environmental and Cost Assessments of Marine Alternative Fuels for Fully Autonomous Short-Sea Shipping Vessels Based on the Global Warming Potential Approach,2024,Journal of Marine Science and Engineering
original,REC-143,KEEP,no inclusion signals on review,EXCLUDE,E1:underwater noise,PERSPECTIVES OF USING THE STATIC ELECTRIC POWER SOURCES ON SHIPS WITH ELECTRIC PROPULSION PLANTS,2020,
original,REC-163,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Distributed Propulsion: A Novel Concept for Inland Vessels,2015,
original,REC-218,READMIT,"ML estimation of hydrodynamic performance / power demand / fuel consumption; rule defeated by hyphenated ""machine-learning""",EXCLUDE,E3:no-ML-method,Ship performance monitoring using machine-learning,2022,Ocean Engineering
original,REC-232,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review",2023,Cognitive Robotics
original,REC-247,DUPLICATE,Same title and abstract as REC-218 (dedup miss); admit once via REC-218,EXCLUDE,E3:no-ML-method,Ship Performance Monitoring using Machine-learning,2021,arXiv (Cornell University)
original,REC-253,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"A Review of Further Directions for Artificial Intelligence, Machine Learning, and Deep Learning in Smart Logistics",2020,Sustainability
original,REC-256,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Applications of Digital Twin across Industries: A Review,2022,Applied Sciences
original,REC-266,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Ship Speed Optimization Considering Ocean Currents to Enhance Environmental Sustainability in Maritime Shipping,2020,Sustainability
original,REC-285,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Harnessing AI for Sustainable Shipping and Green Ports: Challenges and Opportunities,2024,Applied Sciences
original,REC-319,READMIT,"Gray-box ship fuel consumption prediction with SHAP; rule knows ""gray-box"" but abstract spells ""gray box""",EXCLUDE,E3:no-ML-method,An Interpretable Gray Box Model for Ship Fuel Consumption Prediction Based on the SHAP Framework,2023,Journal of Marine Science and Engineering
original,REC-320,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Review of Prognostic and Health Management (PHM) Methods and Limitations for Marine Diesel Engines: New Research Directions,2023,Machines
original,REC-342,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,"Application, opportunities, and challenges of digital technologies in the decarbonizing shipping industry: a bibliometric analysis",2025,Frontiers in Marine Science
original,REC-395,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Operator learning for predicting multiscale bubble growth dynamics,2021,The Journal of Chemical Physics
original,REC-397,READMIT,ML-based ship speed prediction in ice; consistent with rao2021 (Arctic speed prediction) already included,EXCLUDE,E1:non-performance-topic,A machine learning-based method for simulation of ship speed profile in a complex ice field,2019,Ships and Offshore Structures
original,REC-400,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Research on Fault Early Warning of Marine Diesel Engine Based on CNN-BiGRU,2022,Journal of Marine Science and Engineering
original,REC-405,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Artificial Neural Network for Forecasting Wave Heights along a Ship’s Route during Hurricanes,2017,Journal of Waterway Port Coastal and Ocean Engineering
original,REC-408,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Online Learning based GA-BP Neural Network to Predict Ship Trajectory,2021,2021 China Automation Congress (CAC)
original,REC-410,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Online Data-Driven Integrated Prediction Model for Ship Motion Based on Data Augmentation and Filtering Decomposition and Time-Varying Neural Network,2024,Journal of Marine Science and Engineering
original,REC-432,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,MPC-informed ECMS based real-time power management strategy for hybrid electric ship,2021,Energy Reports
original,REC-451,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,A Real-Time Power Management Strategy for Hybrid Electrical Ships Under Highly Fluctuated Propulsion Loads,2022,IEEE Systems Journal
original,REC-470,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Adaptive Sliding Mode Trajectory Tracking Control for Unmanned Surface Vehicle with Modeling Uncertainties and Input Saturation,2019,Applied Sciences
original,REC-535,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Ship Fouling Monitoring and Analysis Based on Data Driven Methods,2023,"2023 CAA Symposium on Fault Detection, Supervision and Safety for Technical Processes (SAFEPROCESS)"
original,REC-551,KEEP,no inclusion signals on review,EXCLUDE,E1:motion prediction,The OVMD-SAE-FCM Prediction Method for Non-Stationary Ship Roll Motion,2025,2025 44th Chinese Control Conference (CCC)
update-2026,REC-057,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Structured Techno-Economic and Environmental Assessment Framework for Green Interventions on Cargo Ships: Application to a Container Vessel,2026,Eng—Advances in Engineering
update-2026,REC-079,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,An Analysis of Ship Waiting Times at Bozcaada Anchorage Area,2026,Journal of Naval Sciences and Engineering
update-2026,REC-087,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,Spatial Analysis Of Ship Movements Using Trajectory Clustering,2026,Procedia Computer Science
update-2026,REC-088,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,"Joint optimization method of ship energy efficiency based on water depth, speed, and trim",2026,Journal of Physics Conference Series
update-2026,REC-113,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Machine Learning Framework for Fault Detection and Diagnosis in Rotating Machinery,2026,Journal of Marine Science and Engineering
update-2026,REC-131,KEEP,no inclusion signals on review,EXCLUDE,E1:motion prediction,Study on the prediction performance of ship motion in waves by LSTM under missing data,2026,Brodogradnja
update-2026,REC-138,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Experimental investigation on lubrication regimes transition in marine propulsion shafting: a diagnostic methodology via signal feature fusion,2026,Engineering Research Express
update-2026,REC-144,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Method for Reconstructing State Information of Ship Integrated Power System Distribution Networks Under Incomplete Data Conditions,2026,Energies
update-2026,REC-155,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Construction of Typical Sailing Conditions for Harbor Tugs Based on WOA-K-Means++ Clustering and Hidden Markov Models,2026,Journal of Marine Science and Engineering
update-2026,REC-157,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Valuing Offshore Habitat to Recreational Anglers Using Cellphone Location Data,2026,Land Economics
update-2026,REC-184,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Physics-informed dimensionality reduction for propeller shape optimization,2026,Applied Ocean Research
update-2026,REC-185,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Novelties in Marine Propulsion,2026,Journal of Marine Science and Engineering
update-2026,REC-187,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Convective Heat Transfer in Gas-Cooled Nuclear Reactors—A Review,2026,Energies
update-2026,REC-195,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A comprehensive CFD lifecycle dataset for marine vessel hydrodynamics,2026,Scientific Data
update-2026,REC-203,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Methodological Framework for Cognitive AI Integration in Marine CAD Environments for Ship Design: Application to Pipe Routing,2026,Preprints.org
update-2026,REC-205,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Field-Level Uncertainty Quantification for AI-Based Ship Hull Surface Pressure Prediction,2026,Journal of Marine Science and Engineering
update-2026,REC-207,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Review on tsunami research and risk mitigation: from prediction models to resilient coastal communities,2026,npj natural hazards.
update-2026,REC-221,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Integrated Approach to Modelling the Reliability of Gears in Ship Propulsion Systems,2026,Applied Sciences
update-2026,REC-222,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Unified Fractal Processing Framework for Normalized AIS and ECDIS Ship Trajectories,2026,Digital
update-2026,REC-225,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Four-Reference-Point Sliding-Window Game-Theoretic Model for Sustainable Emergency Decision-Making,2026,Sustainability
update-2026,REC-235,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,HAO-AVP: An Entropy-Gini Reinforcement Learning Assisted Hierarchical Void Repair Protocol for Underwater Wireless Sensor Networks,2026,Sensors
update-2026,REC-243,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Prototyping of self-sustaining propulsion systems for solar system exploration,2026,JOURNAL OF ADVANCES IN PHYSICS
update-2026,REC-252,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Maintenance-Aware Temporal Contrastive Autoencoder for Health Index Learning of Marine Turbochargers Under Real-Ship Operation,2026,Journal of Marine Science and Engineering
update-2026,REC-258,KEEP,no inclusion signals on review,EXCLUDE,E5:clinical,"Artificial Intelligence for Computer-Aided Detection in Endovascular Interventions: Clinical Applications, Validation, and Translational Perspectives",2026,Bioengineering
update-2026,REC-261,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Critical Review on Verification and Validation Frameworks for AI-based Diagnostics in Military CBM+,2026,KSII Transactions on Internet and Information Systems
update-2026,REC-264,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Impact of vessel operations on navigation channel stability and the broader environment : insights from a workshop held 4–5 September 2024,2026,
update-2026,REC-267,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Transfer-Learning-Based STL–LSTM Framework for Significant Wave Height Forecasting,2026,Journal of Marine Science and Engineering
update-2026,REC-272,KEEP,no inclusion signals on review,EXCLUDE,E1:collision avoidance,Deep Learning-Based AIS Signal Collision Detection in Satellite Reception Environment,2026,Applied Sciences
update-2026,REC-315,KEEP,no inclusion signals on review,EXCLUDE,E5:drone,AI-Based Ship Route Tracking and Oil Leakage Monitoring,2026,2026 IEEE International Conference on AI Engineering and Innovations (AIEI)
update-2026,REC-323,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Correction Functions and Refinement Algorithms for Enhancing the Performance of Machine Learning Models,2026,Automation
update-2026,REC-329,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,"Deploying Efficient LLM Agents on Maritime Autonomous Surface Ships: Fine-Tuning, RAG, and Function Calling in a Mid-Size Model",2026,Inf.
update-2026,REC-341,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Full-Stack Platform for AIS Data Preprocessing and Visualization for Maritime Tanker Analysis,2026,RUCforsk (Roskilde University)
update-2026,REC-348,KEEP,no inclusion signals on review,EXCLUDE,E1:structural integrity,A Machine Learning Enabled MDO for Bio-Inspired Autonomous Underwater Gliders,2026,arXiv (Cornell University)
update-2026,REC-349,KEEP,no inclusion signals on review,EXCLUDE,E5:aircraft,Adaptive Model Predictive Control of Nonlinear Generic Urban Air Mobility Using Linear Parameter-Varying Systems,2026,arXiv (Cornell University)
original,REC-120,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Big Data Analysis of the Speed Performance of a 176k DWT Bulk Carrier in Real Operating Conditions,2024,Journal of Marine Science and Engineering
original,REC-122,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Classification of Ship Type from Combination of HMM-DNN-CNN Models Based on Ship Trajectory Features,2024,Remote Sensing
original,REC-165,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Heuristic Strategy-Empowered Real-Time Path Following for Autonomous Surface Vessel With Adaptive Line-of-Sight Guidance,2025,IEEE Journal of Oceanic Engineering
original,REC-174,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Continuous Model Calibration: Leveraging Feedback-Driven Fine-Tuning for Self- Correcting Large Language Models,2025,International Journal of Research Publication and Reviews
original,REC-175,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Adaptive model of vessel movement in control systems,2022,MORSKIE INTELLEKTUAL`NYE TEHNOLOGII
original,REC-177,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Predefined-Time Adaptive Neural Control with Event-Triggering for Robust Trajectory Tracking of Underactuated Marine Vessels,2025,Processes
original,REC-185,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Neuro-Based Adaptive PID Controller for Marine Satellite Tracking Systems,2025,IEEE Access
original,REC-194,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Multi-Stream Process Modeling,2025,Mathematical and computer modelling. Series: Technical sciences
original,REC-201,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Enhancing roll-damping predictions: A novel approach with LWM and AGM validation,2025,Nauchno-tekhnicheskiy vestnik Bryanskogo gosudarstvennogo universiteta
original,REC-208,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Experimental Study of Intelligent Autopilot for Surface Vessels Based on Neural Network Optimised PID Controller,2019,Chinese Control and Decision Conference
original,REC-209,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,"Path following for podded propulsion unmanned surface vehicle: Theory, simulation and experiment",2018,
original,REC-212,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Simulation-augmented methods for safe and efficient manoeuvres in harbour areas,2016,
original,REC-215,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,An Experimental Investigation of the Trim Effect on the Behaviour of a Containership in Shallow Water,2019,Ocean Engineering
original,REC-233,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Operational data for sea margin calculations in early ship design,2024,IMDC.
original,REC-240,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",2020,IEEE Access
original,REC-246,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Optimal ship speed and the cubic law revisited: Empirical evidence from an oil tanker fleet,2020,Transportation Research Part E Logistics and Transportation Review
original,REC-257,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Artificial intelligence enabling circular business model innovation in digital servitization: Conceptualizing dynamic capabilities, AI capacities, business models and effects",2023,Technological Forecasting and Social Change
original,REC-271,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Energy and Exergy Analysis of a Cruise Ship,2018,MDPI (MDPI AG)
original,REC-274,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Digital twin of a city: Review of technology serving city needs,2022,International Journal of Applied Earth Observation and Geoinformation
original,REC-278,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Ship’s Digital Twin—A Review of Modelling Challenges and Applications,2022,Applied Sciences
original,REC-282,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A spatio-temporal analysis investigating completeness and inequalities of global urban building data in OpenStreetMap,2023,Nature Communications
original,REC-284,KEEP,no inclusion signals on review,EXCLUDE,E1:ship detection,Video-Based Detection Infrastructure Enhancement for Automated Ship Recognition and Behavior Analysis,2020,Journal of Advanced Transportation
original,REC-291,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Digital Twin in the Maritime Domain: A Review and Emerging Trends,2023,Journal of Marine Science and Engineering
original,REC-292,KEEP,no inclusion signals on review,EXCLUDE,E5:state of charge,Prognostics and Health Management for the Optimization of Marine Hybrid Energy Systems,2020,Energies
original,REC-299,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications",2019,IEEE Access
original,REC-300,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Condition Monitoring using Machine Learning: A Review of Theory, Applications, and Recent Advances",2023,Expert Systems with Applications
original,REC-303,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Deep-learning-based information mining from ocean remote-sensing imagery,2020,National Science Review
original,REC-317,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Review on Vibration-Based Condition Monitoring of Rotating Machinery,2022,Applied Sciences
original,REC-336,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Energy Consumption Prediction Using Machine Learning; A Review,2019,Preprints.org
original,REC-337,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Artificial Intelligence and Machine Learning for Green Shipping: Navigating towards Sustainable Maritime Practices,2024,JOIV International Journal on Informatics Visualization
original,REC-345,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A generalized fuzzy k-nearest neighbor regression model based on Minkowski distance,2021,Granular Computing
original,REC-357,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,High-Level K-Nearest Neighbors (HLKNN): A Supervised Machine Learning Model for Classification Analysis,2023,Electronics
original,REC-383,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,The Application of Artificial Intelligence Technology in Shipping: A Bibliometric Review,2024,Journal of Marine Science and Engineering
original,REC-386,KEEP,"Semi-empirical speed-loss formulas verified by model tests, no data-driven learning component (E2)",EXCLUDE,E1:voyage optimization,A Practical Speed Loss Prediction Model at Arbitrary Wave Heading for Ship Voyage Optimization,2021,Journal of Marine Science and Application
original,REC-398,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Digital Twins in Wind Energy: Emerging Technologies and Industry-Informed Future Directions,2023,IEEE Access
original,REC-414,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A distributed online learning approach for pattern prediction over movement event streams with apache flink,2022,Fraunhofer-Publica (Fraunhofer-Gesellschaft)
original,REC-424,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Development of nonlinear control strategies for a fully electric high-speed passenger vessel,2023,2023 IEEE 6th Colombian Conference on Automatic Control (CCAC)
original,REC-428,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,An Updated Assessment of Near‐Surface Temperature Change From 1850: The HadCRUT5 Data Set,2020,Journal of Geophysical Research Atmospheres
original,REC-435,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Component sizing and energy management for SOFC-based ship power systems,2021,Energy Conversion and Management
original,REC-530,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Study on manoeuverability and control of an autonomous Wave Adaptive Modular Vessel (WAM-V) for ocean observation,2015,2015 International Association of Institutes of Navigation World Congress (IAIN)
original,REC-546,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Dynamic Performance Improvement of MRAS Based Sensorless Control for Permanent Magnet Synchronous Machines,2023,2023 26th International Conference on Electrical Machines and Systems (ICEMS)
original,REC-549,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,An improved adaptive navigation control model for state prediction of the forward vessel,2025,2025 IEEE 8th Information Technology and Mechatronics Engineering Conference (ITOEC)
original,REC-554,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Parameter Prediction of Marine Seawater Cooling System Based on EMD-BO-LIESN Combined Model,2023,2023 5th International Academic Exchange Conference on Science and Technology Innovation (IAECST)
update-2026,REC-013,KEEP,no inclusion signals on review,EXCLUDE,E5:microgrid,Enhancement of Reactive Power and Efficiency Using Hybrid Compensation Approach for Supply Vessels,2026,Journal of Marine Science and Engineering
update-2026,REC-016,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,"Energy Management Strategies for Fuel Cell Hybrid Ships: Classification, Comparison, and Outlook",2026,Energies
